Call_Date,Complaint,ID,Product,Resolution_Description,Resolved_Ontime,Provider,Minutes_On_Phone,Severity,Failure_Type,Customer_Type
7/14/2014,VCO user upset that earlier today today CA hung up in middle of her call to her sister.  Her sister got a dial tone & the VCO user got nothing.  Customer would like a follow up.,3,Account Relationship Packages,Apologized for trouble & assured customer that info would be passed to appropriate ctr.  Ctr had experienced technical difficulties and all calls were dropped.  Techs were immediately notified and problem was resolved.,Yes,Conversys,40,Low,Banking Services,Reseller
7/22/2014,"VCO customer was very upset that the gov't number she dialed rang 10X with no answer. She told CA she knew the business was open and to redial. CA redialed and reached a recording stating the office was closed and to try later. CA informed VCO and VCO customer said would not repeat the number because CA already had the number. she said CA should have kept redialing. I apologized for any inconvience. VCO said CA did redial when asked but she could tell CA didn't like doing it. VCO said she should have kept redialing because that is what ""normal"" people do.",1,Account Relationship Packages,After questioning the VCO customer and the CA I was able to determine CA followed proper procedures. I told the VCO customer her concerns would be documente. She asked for an agent change and continued her calls.,Yes,Metricom,38,Medium,Banking Services,Institutional
7/23/2014,"VCO person was extremely rude towards all CA's saying that they didn't follow directions. VCO kept yelling, relay mgmt got on and said abuse will not be allowed. VCO continued to be very abusive. VCO finally disconnect but not before using profanity.",2,Certificate of Deposit,Not able to follow up with customer - no name was given.,Yes,Metricom,57,Medium,Credit Services,Direct
7/24/2014,"VCO customer was very upset that the gov't number she dialed rang 10X with no answer. She told CA she knew the business was open and to redial. CA redialed and reached a recording stating the office was closed and to try later. CA informed VCO and VCO customer said would not repeat the number because CA already had the number. she said CA should have kept redialing. I apologized for any inconvience. VCO said CA did redial when asked but she could tell CA didn't like doing it. VCO said she should have kept redialing because that is what ""normal"" people do.",1,Checking Accounts,After questioning the VCO customer and the CA I was able to determine CA followed proper procedures. I told the VCO customer her concerns would be documente. She asked for an agent change and continued her calls.,Yes,Metricom,16,Medium,Banking Services,Direct
7/25/2014,"VCO person was extremely rude towards all CA's saying that they didn't follow directions. VCO kept yelling, relay mgmt got on and said abuse will not be allowed. VCO continued to be very abusive. VCO finally disconnect but not before using profanity.",2,Account Relationship Packages,Not able to follow up with customer - no name was given.,Yes,Metricom,45,Medium,Credit Services,OEM
7/14/2014,VCO user upset that earlier today today CA hung up in middle of her call to her sister.  Her sister got a dial tone & the VCO user got nothing.  Customer would like a follow up.,3,Account Relationship Packages,Apologized for trouble & assured customer that info would be passed to appropriate ctr.  Ctr had experienced technical difficulties and all calls were dropped.  Techs were immediately notified and problem was resolved.,Yes,TeleSynch,40,Low,Banking Services,Reseller
6/30/2014,Could not reach IL Relay nbr and 711 was busy.,4,Checking Accounts,CS apologized and explained to caller that Ameritech was having a major problem w/their lines that was affecting certain areas nationwide.  Informed caller that Ameritech was aware of problem and working to correct it per info received in Sprint Relay CS.,Yes,Conversys,59,High,Banking Services,Direct
6/30/2014,Could not reach IL Relay nbr and 711 was busy.,5,Certificate of Deposit,CS apologized and explained to caller that Ameritech was having a major problem w/their lines that was affecting certain areas nationwide.  Informed caller that Ameritech was aware of problem and working to correct it per info received in Sprint Relay CS.,Yes,Conversys,57,High,Banking Services,Government
6/30/2014,"TTY user indicated that the CA had disconnected them, but when I went over there, the call had just dropped in w/TTY user requesting a supe.  (TTY user may have wrong CA nbr?)",6,Account Relationship Packages,Apologized to TTY user and asked if they would like CA to place call for them and call was processed.  Followed up w/CA and call had just dropped in (CA just started shift).  Apparently customer had wrong CA nbr.,No,Conversys,39,Low,Banking Services,Direct
6/30/2014,Customer is unable to reach IL Relay - never gets answer.,7,Overdraft Protection services,Thanked customer for calling and informed problems w/Ameritech customers not being able to dial 800 nbrs.  Suggested she try 711.  Aware of problem and being worked on.,No,Conversys,51,Low,Credit Services,Institutional
6/30/2014,Customer was very upset at all the techinical problems this CA was having. Outbound customers could not hear CA at all. Caller tried a few times dialing out and outbound could not hear CA.  The call was taken over and it went fine.,9,Account Relationship Packages,Team Lead assisted with this call and it was a tech issue involving the station that would not dial out. Station has since been referred to the tech. CA did what she could to get this call to go through.,No,Metricom,57,Medium,Credit Services,Direct
6/30/2014,VCO customer was upset that CA would not tell her what the voice person sounded like. VCO user asked after the call was done.,10,Certificate of Deposit,Explained that the CA had followed proper procedures in not discussing the tone once the call has ended.  Also explained that if CA ia sure of the tone during the call it is included in the call. VCO customer would like this policy reviewed so she can know the tone of the people she's talking to.,No,Metricom,48,Low,Banking Services,Reseller
6/30/2014,Customer was upset because the outbound could not hear CA. Customer asked for sup and I took over the call and the call was processed just fine with no problems. CA had informed the customer that person could not hear the CA.  Customer was upset. The trainer entered a trouble ticket.,8,Certificate of Deposit,Not able to follow up with customer - no name was given.,Yes,Performacall,32,Medium,Banking Services,OEM
6/30/2014,Customer was very upset at all the techinical problems this CA was having. Outbound customers could not hear CA at all. Caller tried a few times dialing out and outbound could not hear CA.  The call was taken over and it went fine.,9,Credit Services,Team Lead assisted with this call and it was a tech issue involving the station that would not dial out. Station has since been referred to the tech. CA did what she could to get this call to go through.,No,Metricom,53,Low,Credit Services,Institutional
6/30/2014,VCO customer was upset that CA would not tell her what the voice person sounded like. VCO user asked after the call was done.,10,Checking Accounts,Explained that the CA had followed proper procedures in not discussing the tone once the call has ended.  Also explained that if CA ia sure of the tone during the call it is included in the call. VCO customer would like this policy reviewed so she can know the tone of the people she's talking to.,No,Metricom,41,Medium,Credit Services,OEM
6/30/2014,Customer was upset because the outbound could not hear CA. Customer asked for sup and I took over the call and the call was processed just fine with no problems. CA had informed the customer that person could not hear the CA.  Customer was upset. The trainer entered a trouble ticket.,8,Certificate of Deposit,Not able to follow up with customer - no name was given.,Yes,Performacall,36,Low,Credit Services,Institutional
6/30/2014,Customer was upset because the outbound could not hear CA. Customer asked for sup and I took over the call and the call was processed just fine with no problems. CA had informed the customer that person could not hear the CA.  Customer was upset. The trainer entered a trouble ticket.,8,Certificate of Deposit,Not able to follow up with customer - no name was given.,Yes,TeleSynch,36,Low,Credit Services,Institutional
6/30/2014,Could not reach IL Relay nbr and 711 was busy.,4,Checking Accounts,CS apologized and explained to caller that Ameritech was having a major problem w/their lines that was affecting certain areas nationwide.  Informed caller that Ameritech was aware of problem and working to correct it per info received in Sprint Relay CS.,Yes,TeleSynch,59,High,Banking Services,Direct
6/30/2014,Could not reach IL Relay nbr and 711 was busy.,5,Certificate of Deposit,CS apologized and explained to caller that Ameritech was having a major problem w/their lines that was affecting certain areas nationwide.  Informed caller that Ameritech was aware of problem and working to correct it per info received in Sprint Relay CS.,Yes,TeleSynch,57,High,Banking Services,Government
6/30/2014,"TTY user indicated that the CA had disconnected them, but when I went over there, the call had just dropped in w/TTY user requesting a supe.  (TTY user may have wrong CA nbr?)",6,Account Relationship Packages,Apologized to TTY user and asked if they would like CA to place call for them and call was processed.  Followed up w/CA and call had just dropped in (CA just started shift).  Apparently customer had wrong CA nbr.,No,TeleSynch,39,Low,Banking Services,Direct
6/30/2014,Customer is unable to reach IL Relay - never gets answer.,7,Overdraft Protection services,Thanked customer for calling and informed problems w/Ameritech customers not being able to dial 800 nbrs.  Suggested she try 711.  Aware of problem and being worked on.,No,TeleSynch,51,Low,Credit Services,Institutional
7/17/2014,VCO customer was upset because she said she asked the CA if they have read her DB notes and they don't respond. She aslo asked this CA for a sup and she did not get a sup so VCO user hung up and called back in to file complaint.  Team Lead apologized to the customer for the frustration this was causing her and would document her complaint so that the agent would be coached in this area.  Then had the new CA place the call she wanted.,11,Certificate of Deposit,"Team Lead spoke with agent about this situation. CA remembers VCO asking her to read the notes, she responded yes notes read and the call then went thru. CA said VCO did not ask for a sup.",No,Performacall,54,Medium,Credit Services,Direct
7/17/2014,Customer was upset that she received no response from a CA regarding if CA had read her customer notes. Took a long time for the CA to respond. Stated that about 95% of CA does not read her notes or does it incorrectly. Wanted to know if the CA was new. Apologized for the inconvenience it may have cause her. I explained that as soon as the call came in this Ca was experiencing computer glitches that prevent CA from typing.,12,Certificate of Deposit,I was assisting this CA in correcting the computer. I checked the screen and it indicated the Ca had responded to her question. I then offered her to continue with the call. She immediately gave the number.,Yes,Performacall,39,Low,Credit Services,OEM
7/17/2014,Customer complained that since their tty machine may have been damaged by her nieces and newphews dropping it they are unsure of how it transmitts across the agents screen. This agent acted impatient and typed super slow to rub it in like the agent did have much time attitude. Sup apologized to the customer and took a note and it was transmitted no problem at end user but would notify the SD ctr.,13,Checking Accounts,This was not an agent error. Related to the customers tty.,Yes,Performacall,47,High,Banking Services,Institutional
7/17/2014,VCO customer was upset because she said she asked the CA if they have read her DB notes and they don't respond. She aslo asked this CA for a sup and she did not get a sup so VCO user hung up and called back in to file complaint.  Team Lead apologized to the customer for the frustration this was causing her and would document her complaint so that the agent would be coached in this area.  Then had the new CA place the call she wanted.,11,Checking Accounts,"Team Lead spoke with agent about this situation. CA remembers VCO asking her to read the notes, she responded yes notes read and the call then went thru. CA said VCO did not ask for a sup.",No,Performacall,41,High,Credit Services,Institutional
7/17/2014,Customer was upset that she received no response from a CA regarding if CA had read her customer notes. Took a long time for the CA to respond. Stated that about 95% of CA does not read her notes or does it incorrectly. Wanted to know if the CA was new. Apologized for the inconvenience it may have cause her. I explained that as soon as the call came in this Ca was experiencing computer glitches that prevent CA from typing.,12,Credit Services,I was assisting this CA in correcting the computer. I checked the screen and it indicated the Ca had responded to her question. I then offered her to continue with the call. She immediately gave the number.,Yes,Performacall,52,High,Credit Services,Direct
7/17/2014,Customer complained that since their tty machine may have been damaged by her nieces and newphews dropping it they are unsure of how it transmitts across the agents screen. This agent acted impatient and typed super slow to rub it in like the agent did have much time attitude. Sup apologized to the customer and took a note and it was transmitted no problem at end user but would notify the SD ctr.,13,Credit Services,This was not an agent error. Related to the customers tty.,Yes,Performacall,25,Low,Credit Services,Reseller
7/17/2014,VCO customer was upset because she said she asked the CA if they have read her DB notes and they don't respond. She aslo asked this CA for a sup and she did not get a sup so VCO user hung up and called back in to file complaint.  Team Lead apologized to the customer for the frustration this was causing her and would document her complaint so that the agent would be coached in this area.  Then had the new CA place the call she wanted.,11,Checking Accounts,"Team Lead spoke with agent about this situation. CA remembers VCO asking her to read the notes, she responded yes notes read and the call then went thru. CA said VCO did not ask for a sup.",No,TeleSynch,41,High,Credit Services,Institutional
7/17/2014,Customer was upset that she received no response from a CA regarding if CA had read her customer notes. Took a long time for the CA to respond. Stated that about 95% of CA does not read her notes or does it incorrectly. Wanted to know if the CA was new. Apologized for the inconvenience it may have cause her. I explained that as soon as the call came in this Ca was experiencing computer glitches that prevent CA from typing.,12,Credit Services,I was assisting this CA in correcting the computer. I checked the screen and it indicated the Ca had responded to her question. I then offered her to continue with the call. She immediately gave the number.,Yes,TeleSynch,52,High,Credit Services,Direct
7/17/2014,Customer complained that since their tty machine may have been damaged by her nieces and newphews dropping it they are unsure of how it transmitts across the agents screen. This agent acted impatient and typed super slow to rub it in like the agent did have much time attitude. Sup apologized to the customer and took a note and it was transmitted no problem at end user but would notify the SD ctr.,13,Credit Services,This was not an agent error. Related to the customers tty.,Yes,TeleSynch,25,Low,Credit Services,Reseller
7/18/2014,TTY customer said that this agent hung up on him and he wanted to make another call.  Apologized to the customer and thanked him for the info. Informed the customer that all the info would be written down and forwarded to the sup.,14,Credit Services,CA coached on not to hang up on customers. CA states that he did not hang up on the customer and it could have been a tech issue.,Yes,Conversys,17,High,Banking Services,Direct
